County,Office,Candidate,Party,County Total,State Total
Jeff Davis,Ballot Measure 1,FOR Initiative Measure No. 65,,3668,766478
Jefferson,Ballot Measure 1,FOR Initiative Measure No. 65,,2568,766478
Jones,Ballot Measure 1,FOR Initiative Measure No. 65,,16648,766478
Kemper,Ballot Measure 1,FOR Initiative Measure No. 65,,2834,766478
Lafayette,Ballot Measure 1,FOR Initiative Measure No. 65,,13765,766478
Lamar,Ballot Measure 1,FOR Initiative Measure No. 65,,15437,766478
Lauderdale,Ballot Measure 1,FOR Initiative Measure No. 65,,17617,766478
Lawrence,Ballot Measure 1,FOR Initiative Measure No. 65,,3651,766478
Leake,Ballot Measure 1,FOR Initiative Measure No. 65,,5068,766478
Lee,Ballot Measure 1,FOR Initiative Measure No. 65,,20899,766478
Leflore,Ballot Measure 1,FOR Initiative Measure No. 65,,6058,766478
Lincoln,Ballot Measure 1,FOR Initiative Measure No. 65,,9212,766478
Lowndes,Ballot Measure 1,FOR Initiative Measure No. 65,,16921,766478
Madison,Ballot Measure 1,FOR Initiative Measure No. 65,,30495,766478
Marion,Ballot Measure 1,FOR Initiative Measure No. 65,,5955,766478
Marshall,Ballot Measure 1,FOR Initiative Measure No. 65,,9219,766478
Monroe,Ballot Measure 1,FOR Initiative Measure No. 65,,10578,766478
Montgomery,Ballot Measure 1,FOR Initiative Measure No. 65,,2645,766478
Neshoba,Ballot Measure 1,FOR Initiative Measure No. 65,,6325,766478
Newton,Ballot Measure 1,FOR Initiative Measure No. 65,,5224,766478
Noxubee,Ballot Measure 1,FOR Initiative Measure No. 65,,3162,766478
Oktibbeha,Ballot Measure 1,FOR Initiative Measure No. 65,,11502,766478
Panola,Ballot Measure 1,FOR Initiative Measure No. 65,,8206,766478
Pearl River,Ballot Measure 1,FOR Initiative Measure No. 65,,12433,766478
Perry,Ballot Measure 1,FOR Initiative Measure No. 65,,3418,766478
Pike,Ballot Measure 1,FOR Initiative Measure No. 65,,10430,766478
Pontotoc,Ballot Measure 1,FOR Initiative Measure No. 65,,7210,766478
Prentiss,Ballot Measure 1,FOR Initiative Measure No. 65,,5752,766478
Quitman,Ballot Measure 1,FOR Initiative Measure No. 65,,1648,766478
Rankin,Ballot Measure 1,FOR Initiative Measure No. 65,,39209,766478
Scott,Ballot Measure 1,FOR Initiative Measure No. 65,,5952,766478
Sharkey,Ballot Measure 1,FOR Initiative Measure No. 65,,1223,766478
Simpson,Ballot Measure 1,FOR Initiative Measure No. 65,,6649,766478
Smith,Ballot Measure 1,FOR Initiative Measure No. 65,,4296,766478
Stone,Ballot Measure 1,FOR Initiative Measure No. 65,,4551,766478
Sunflower,Ballot Measure 1,FOR Initiative Measure No. 65,,5560,766478
Tallahatchie,Ballot Measure 1,FOR Initiative Measure No. 65,,3396,766478
Tate,Ballot Measure 1,FOR Initiative Measure No. 65,,7180,766478
Tippah,Ballot Measure 1,FOR Initiative Measure No. 65,,4655,766478
Tishomingo,Ballot Measure 1,FOR Initiative Measure No. 65,,4796,766478
Tunica,Ballot Measure 1,FOR Initiative Measure No. 65,,2107,766478
Union,Ballot Measure 1,FOR Initiative Measure No. 65,,5963,766478
Walthall,Ballot Measure 1,FOR Initiative Measure No. 65,,3997,766478
Warren,Ballot Measure 1,FOR Initiative Measure No. 65,,12718,766478
Washington,Ballot Measure 1,FOR Initiative Measure No. 65,,10781,766478
Wayne,Ballot Measure 1,FOR Initiative Measure No. 65,,5662,766478
Webster,Ballot Measure 1,FOR Initiative Measure No. 65,,2550,766478
Wilkinson,Ballot Measure 1,FOR Initiative Measure No. 65,,2324,766478
Winston,Ballot Measure 1,FOR Initiative Measure No. 65,,4860,766478
Yalobusha,Ballot Measure 1,FOR Initiative Measure No. 65,,4012,766478
Yazoo,Ballot Measure 1,FOR Initiative Measure No. 65,,5925,766478
Adams,Ballot Measure 1,FOR Alternative Measure No. 65A,,2361,273805
Alcorn,Ballot Measure 1,FOR Alternative Measure No. 65A,,3934,273805
Amite,Ballot Measure 1,FOR Alternative Measure No. 65A,,1432,273805
Attala,Ballot Measure 1,FOR Alternative Measure No. 65A,,2065,273805
Benton,Ballot Measure 1,FOR Alternative Measure No. 65A,,935,273805
Bolivar,Ballot Measure 1,FOR Alternative Measure No. 65A,,2797,273805
Calhoun,Ballot Measure 1,FOR Alternative Measure No. 65A,,1414,273805
Carroll,Ballot Measure 1,FOR Alternative Measure No. 65A,,1433,273805
Chickasaw,Ballot Measure 1,FOR Alternative Measure No. 65A,,1570,273805
Choctaw,Ballot Measure 1,FOR Alternative Measure No. 65A,,827,273805
Claiborne,Ballot Measure 1,FOR Alternative Measure No. 65A,,706,273805
Clarke,Ballot Measure 1,FOR Alternative Measure No. 65A,,1846,273805
Clay,Ballot Measure 1,FOR Alternative Measure No. 65A,,1929,273805
Coahoma,Ballot Measure 1,FOR Alternative Measure No. 65A,,1524,273805
Copiah,Ballot Measure 1,FOR Alternative Measure No. 65A,,2832,273805
Covington,Ballot Measure 1,FOR Alternative Measure No. 65A,,2251,273805
DeSoto,Ballot Measure 1,FOR Alternative Measure No. 65A,,13575,273805
Forrest,Ballot Measure 1,FOR Alternative Measure No. 65A,,6080,273805
Franklin,Ballot Measure 1,FOR Alternative Measure No. 65A,,740,273805
George,Ballot Measure 1,FOR Alternative Measure No. 65A,,2346,273805
Greene,Ballot Measure 1,FOR Alternative Measure No. 65A,,1226,273805
Grenada,Ballot Measure 1,FOR Alternative Measure No. 65A,,2515,273805
Hancock,Ballot Measure 1,FOR Alternative Measure No. 65A,,3599,273805
Harrison,Ballot Measure 1,FOR Alternative Measure No. 65A,,10466,273805
Hinds,Ballot Measure 1,FOR Alternative Measure No. 65A,,18687,273805
Holmes,Ballot Measure 1,FOR Alternative Measure No. 65A,,1277,273805
Humphreys,Ballot Measure 1,FOR Alternative Measure No. 65A,,766,273805
Issaquena,Ballot Measure 1,FOR Alternative Measure No. 65A,,102,273805
Itawamba,Ballot Measure 1,FOR Alternative Measure No. 65A,,2439,273805
Jackson,Ballot Measure 1,FOR Alternative Measure No. 65A,,9027,273805
Jasper,Ballot Measure 1,FOR Alternative Measure No. 65A,,2074,273805
Jeff Davis,Ballot Measure 1,FOR Alternative Measure No. 65A,,1061,273805
Jefferson,Ballot Measure 1,FOR Alternative Measure No. 65A,,645,273805
Jones,Ballot Measure 1,FOR Alternative Measure No. 65A,,7124,273805
Kemper,Ballot Measure 1,FOR Alternative Measure No. 65A,,914,273805
Lafayette,Ballot Measure 1,FOR Alternative Measure No. 65A,,5353,273805
Lamar,Ballot Measure 1,FOR Alternative Measure No. 65A,,6687,273805
Lauderdale,Ballot Measure 1,FOR Alternative Measure No. 65A,,6500,273805
Lawrence,Ballot Measure 1,FOR Alternative Measure No. 65A,,1336,273805
Leake,Ballot Measure 1,FOR Alternative Measure No. 65A,,2113,273805
Lee,Ballot Measure 1,FOR Alternative Measure No. 65A,,7434,273805
Leflore,Ballot Measure 1,FOR Alternative Measure No. 65A,,2320,273805
Lincoln,Ballot Measure 1,FOR Alternative Measure No. 65A,,3796,273805
Lowndes,Ballot Measure 1,FOR Alternative Measure No. 65A,,5154,273805
Madison,Ballot Measure 1,FOR Alternative Measure No. 65A,,15205,273805
Marion,Ballot Measure 1,FOR Alternative Measure No. 65A,,3207,273805
Marshall,Ballot Measure 1,FOR Alternative Measure No. 65A,,2789,273805
Monroe,Ballot Measure 1,FOR Alternative Measure No. 65A,,3106,273805
Montgomery,Ballot Measure 1,FOR Alternative Measure No. 65A,,1219,273805
Neshoba,Ballot Measure 1,FOR Alternative Measure No. 65A,,2789,273805
Newton,Ballot Measure 1,FOR Alternative Measure No. 65A,,2614,273805
Noxubee,Ballot Measure 1,FOR Alternative Measure No. 65A,,855,273805
Oktibbeha,Ballot Measure 1,FOR Alternative Measure No. 65A,,3950,273805
Panola,Ballot Measure 1,FOR Alternative Measure No. 65A,,4299,273805
Pearl River,Ballot Measure 1,FOR Alternative Measure No. 65A,,6148,273805
Perry,Ballot Measure 1,FOR Alternative Measure No. 65A,,1128,273805
Pike,Ballot Measure 1,FOR Alternative Measure No. 65A,,3402,273805
Pontotoc,Ballot Measure 1,FOR Alternative Measure No. 65A,,3195,273805
Prentiss,Ballot Measure 1,FOR Alternative Measure No. 65A,,2279,273805
Quitman,Ballot Measure 1,FOR Alternative Measure No. 65A,,705,273805
Rankin,Ballot Measure 1,FOR Alternative Measure No. 65A,,17389,273805
Scott,Ballot Measure 1,FOR Alternative Measure No. 65A,,2573,273805
Sharkey,Ballot Measure 1,FOR Alternative Measure No. 65A,,405,273805
Simpson,Ballot Measure 1,FOR Alternative Measure No. 65A,,2765,273805
Smith,Ballot Measure 1,FOR Alternative Measure No. 65A,,2258,273805
Stone,Ballot Measure 1,FOR Alternative Measure No. 65A,,1453,273805
Sunflower,Ballot Measure 1,FOR Alternative Measure No. 65A,,2098,273805
Tallahatchie,Ballot Measure 1,FOR Alternative Measure No. 65A,,1067,273805
Tate,Ballot Measure 1,FOR Alternative Measure No. 65A,,2775,273805
Tippah,Ballot Measure 1,FOR Alternative Measure No. 65A,,3044,273805
Tishomingo,Ballot Measure 1,FOR Alternative Measure No. 65A,,2157,273805
Tunica,Ballot Measure 1,FOR Alternative Measure No. 65A,,633,273805
Union,Ballot Measure 1,FOR Alternative Measure No. 65A,,3892,273805
Walthall,Ballot Measure 1,FOR Alternative Measure No. 65A,,1363,273805
Warren,Ballot Measure 1,FOR Alternative Measure No. 65A,,4172,273805
Washington,Ballot Measure 1,FOR Alternative Measure No. 65A,,3492,273805
Wayne,Ballot Measure 1,FOR Alternative Measure No. 65A,,1995,273805
Webster,Ballot Measure 1,FOR Alternative Measure No. 65A,,1479,273805
Wilkinson,Ballot Measure 1,FOR Alternative Measure No. 65A,,734,273805
Winston,Ballot Measure 1,FOR Alternative Measure No. 65A,,2517,273805
Yalobusha,Ballot Measure 1,FOR Alternative Measure No. 65A,,1396,273805
Yazoo,Ballot Measure 1,FOR Alternative Measure No. 65A,,2046,273805
Adams,Ballot Measure 1,Over Vote,2,0,2129
Alcorn,Ballot Measure 1,Over Vote,2,7,2129
Amite,Ballot Measure 1,Over Vote,2,8,2129
Attala,Ballot Measure 1,Over Vote,2,8,2129
Benton,Ballot Measure 1,Over Vote,2,0,2129
Bolivar,Ballot Measure 1,Over Vote,2,7,2129
Calhoun,Ballot Measure 1,Over Vote,2,6,2129
Carroll,Ballot Measure 1,Over Vote,2,12,2129
Chickasaw,Ballot Measure 1,Over Vote,2,10,2129
Choctaw,Ballot Measure 1,Over Vote,2,0,2129
Claiborne,Ballot Measure 1,Over Vote,2,7,2129
Clarke,Ballot Measure 1,Over Vote,2,4,2129
Clay,Ballot Measure 1,Over Vote,2,13,2129
Coahoma,Ballot Measure 1,Over Vote,2,3,2129
Copiah,Ballot Measure 1,Over Vote,2,19,2129
Covington,Ballot Measure 1,Over Vote,2,0,2129
DeSoto,Ballot Measure 1,Over Vote,2,92,2129
Forrest,Ballot Measure 1,Over Vote,2,24,2129
Franklin,Ballot Measure 1,Over Vote,2,2,2129
George,Ballot Measure 1,Over Vote,2,0,2129
Greene,Ballot Measure 1,Over Vote,2,0,2129
Grenada,Ballot Measure 1,Over Vote,2,5,2129
Hancock,Ballot Measure 1,Over Vote,2,14,2129
Harrison,Ballot Measure 1,Over Vote,2,302,2129
Hinds,Ballot Measure 1,Over Vote,2,314,2129
Holmes,Ballot Measure 1,Over Vote,2,1,2129
Humphreys,Ballot Measure 1,Over Vote,2,5,2129
Issaquena,Ballot Measure 1,Over Vote,2,3,2129
Itawamba,Ballot Measure 1,Over Vote,2,0,2129
Jackson,Ballot Measure 1,Over Vote,2,0,2129
Jasper,Ballot Measure 1,Over Vote,2,0,2129
Jeff Davis,Ballot Measure 1,Over Vote,2,0,2129
Jefferson,Ballot Measure 1,Over Vote,2,10,2129
Jones,Ballot Measure 1,Over Vote,2,17,2129
Kemper,Ballot Measure 1,Over Vote,2,1,2129
Lafayette,Ballot Measure 1,Over Vote,2,64,2129
Lamar,Ballot Measure 1,Over Vote,2,29,2129
Lauderdale,Ballot Measure 1,Over Vote,2,74,2129
Lawrence,Ballot Measure 1,Over Vote,2,0,2129
Leake,Ballot Measure 1,Over Vote,2,2,2129
Lee,Ballot Measure 1,Over Vote,2,42,2129
Leflore,Ballot Measure 1,Over Vote,2,17,2129
Lincoln,Ballot Measure 1,Over Vote,2,0,2129
Lowndes,Ballot Measure 1,Over Vote,2,0,2129
Madison,Ballot Measure 1,Over Vote,2,150,2129
Marion,Ballot Measure 1,Over Vote,2,0,2129
Marshall,Ballot Measure 1,Over Vote,2,0,2129
Monroe,Ballot Measure 1,Over Vote,2,20,2129
Montgomery,Ballot Measure 1,Over Vote,2,9,2129
Neshoba,Ballot Measure 1,Over Vote,2,21,2129
Newton,Ballot Measure 1,Over Vote,2,17,2129
Noxubee,Ballot Measure 1,Over Vote,2,5,2129
Oktibbeha,Ballot Measure 1,Over Vote,2,45,2129
Panola,Ballot Measure 1,Over Vote,2,46,2129
Pearl River,Ballot Measure 1,Over Vote,2,67,2129
Perry,Ballot Measure 1,Over Vote,2,6,2129
Pike,Ballot Measure 1,Over Vote,2,16,2129
Pontotoc,Ballot Measure 1,Over Vote,2,13,2129
Prentiss,Ballot Measure 1,Over Vote,2,7,2129
Quitman,Ballot Measure 1,Over Vote,2,6,2129
Rankin,Ballot Measure 1,Over Vote,2,189,2129
Scott,Ballot Measure 1,Over Vote,2,6,2129
Sharkey,Ballot Measure 1,Over Vote,2,1,2129
Simpson,Ballot Measure 1,Over Vote,2,0,2129
Smith,Ballot Measure 1,Over Vote,2,0,2129
Stone,Ballot Measure 1,Over Vote,2,22,2129
Sunflower,Ballot Measure 1,Over Vote,2,13,2129
Tallahatchie,Ballot Measure 1,Over Vote,2,2,2129
Tate,Ballot Measure 1,Over Vote,2,1,2129
Tippah,Ballot Measure 1,Over Vote,2,0,2129
Tishomingo,Ballot Measure 1,Over Vote,2,3,2129
Tunica,Ballot Measure 1,Over Vote,2,5,2129
Union,Ballot Measure 1,Over Vote,2,3,2129
Walthall,Ballot Measure 1,Over Vote,2,0,2129
Warren,Ballot Measure 1,Over Vote,2,0,2129
Washington,Ballot Measure 1,Over Vote,2,290,2129
Wayne,Ballot Measure 1,Over Vote,2,5,2129
Webster,Ballot Measure 1,Over Vote,2,0,2129
Wilkinson,Ballot Measure 1,Over Vote,2,4,2129
Winston,Ballot Measure 1,Over Vote,2,19,2129
Yalobusha,Ballot Measure 1,Over Vote,2,10,2129
Yazoo,Ballot Measure 1,Over Vote,2,6,2129
Adams,Ballot Measure 1,Under Vote,2,3282,281626
Alcorn,Ballot Measure 1,Under Vote,2,4637,281626
Amite,Ballot Measure 1,Under Vote,2,1853,281626
Attala,Ballot Measure 1,Under Vote,2,2148,281626
Benton,Ballot Measure 1,Under Vote,2,1057,281626
Bolivar,Ballot Measure 1,Under Vote,2,3242,281626
Calhoun,Ballot Measure 1,Under Vote,2,1565,281626
Carroll,Ballot Measure 1,Under Vote,2,1715,281626
Chickasaw,Ballot Measure 1,Under Vote,2,1844,281626
Choctaw,Ballot Measure 1,Under Vote,2,1525,281626
Claiborne,Ballot Measure 1,Under Vote,2,764,281626
Clarke,Ballot Measure 1,Under Vote,2,2287,281626
Clay,Ballot Measure 1,Under Vote,2,2071,281626
Coahoma,Ballot Measure 1,Under Vote,2,2272,281626
Copiah,Ballot Measure 1,Under Vote,2,2665,281626
Covington,Ballot Measure 1,Under Vote,2,2057,281626
DeSoto,Ballot Measure 1,Under Vote,2,15583,281626
Forrest,Ballot Measure 1,Under Vote,2,5853,281626
Franklin,Ballot Measure 1,Under Vote,2,1173,281626
George,Ballot Measure 1,Under Vote,2,3107,281626
Greene,Ballot Measure 1,Under Vote,2,1571,281626
Grenada,Ballot Measure 1,Under Vote,2,2380,281626
Hancock,Ballot Measure 1,Under Vote,2,3984,281626
Harrison,Ballot Measure 1,Under Vote,2,15416,281626
Hinds,Ballot Measure 1,Under Vote,2,13314,281626
Holmes,Ballot Measure 1,Under Vote,2,1453,281626
Humphreys,Ballot Measure 1,Under Vote,2,757,281626
Issaquena,Ballot Measure 1,Under Vote,2,214,281626
Itawamba,Ballot Measure 1,Under Vote,2,2654,281626
Jackson,Ballot Measure 1,Under Vote,2,10974,281626
Jasper,Ballot Measure 1,Under Vote,2,1651,281626
Jeff Davis,Ballot Measure 1,Under Vote,2,1537,281626
Jefferson,Ballot Measure 1,Under Vote,2,728,281626
Jones,Ballot Measure 1,Under Vote,2,6447,281626
Kemper,Ballot Measure 1,Under Vote,2,1033,281626
Lafayette,Ballot Measure 1,Under Vote,2,4433,281626
Lamar,Ballot Measure 1,Under Vote,2,6514,281626
Lauderdale,Ballot Measure 1,Under Vote,2,7268,281626
Lawrence,Ballot Measure 1,Under Vote,2,1652,281626
Leake,Ballot Measure 1,Under Vote,2,2090,281626
Lee,Ballot Measure 1,Under Vote,2,8806,281626
Leflore,Ballot Measure 1,Under Vote,2,2610,281626
Lincoln,Ballot Measure 1,Under Vote,2,3930,281626
Lowndes,Ballot Measure 1,Under Vote,2,5334,281626
Madison,Ballot Measure 1,Under Vote,2,10927,281626
Marion,Ballot Measure 1,Under Vote,2,3090,281626
Marshall,Ballot Measure 1,Under Vote,2,3903,281626
Monroe,Ballot Measure 1,Under Vote,2,3722,281626
Montgomery,Ballot Measure 1,Under Vote,2,1262,281626
Neshoba,Ballot Measure 1,Under Vote,2,2653,281626
Newton,Ballot Measure 1,Under Vote,2,2406,281626
Noxubee,Ballot Measure 1,Under Vote,2,1384,281626
Oktibbeha,Ballot Measure 1,Under Vote,2,4432,281626
Panola,Ballot Measure 1,Under Vote,2,3286,281626
Pearl River,Ballot Measure 1,Under Vote,2,5516,281626
Perry,Ballot Measure 1,Under Vote,2,1407,281626
Pike,Ballot Measure 1,Under Vote,2,3609,281626
Pontotoc,Ballot Measure 1,Under Vote,2,4030,281626
Prentiss,Ballot Measure 1,Under Vote,2,2692,281626
Quitman,Ballot Measure 1,Under Vote,2,923,281626
Rankin,Ballot Measure 1,Under Vote,2,14325,281626
Scott,Ballot Measure 1,Under Vote,2,2289,281626
Sharkey,Ballot Measure 1,Under Vote,2,568,281626
Simpson,Ballot Measure 1,Under Vote,2,2489,281626
Smith,Ballot Measure 1,Under Vote,2,1803,281626
Stone,Ballot Measure 1,Under Vote,2,1915,281626
Sunflower,Ballot Measure 1,Under Vote,2,2073,281626
Tallahatchie,Ballot Measure 1,Under Vote,2,1275,281626
Tate,Ballot Measure 1,Under Vote,2,3230,281626
Tippah,Ballot Measure 1,Under Vote,2,2447,281626
Tishomingo,Ballot Measure 1,Under Vote,2,2238,281626
Tunica,Ballot Measure 1,Under Vote,2,847,281626
Union,Ballot Measure 1,Under Vote,2,2913,281626
Walthall,Ballot Measure 1,Under Vote,2,1801,281626
Warren,Ballot Measure 1,Under Vote,2,4280,281626
Washington,Ballot Measure 1,Under Vote,2,3817,281626
Wayne,Ballot Measure 1,Under Vote,2,2478,281626
Webster,Ballot Measure 1,Under Vote,2,1399,281626
Wilkinson,Ballot Measure 1,Under Vote,2,1104,281626
Winston,Ballot Measure 1,Under Vote,2,1944,281626
Yalobusha,Ballot Measure 1,Under Vote,2,1162,281626
Yazoo,Ballot Measure 1,Under Vote,2,2537,281626
Adams,Ballot Measure 2,YES,,10400,984788
Alcorn,Ballot Measure 2,YES,,10659,984788
Amite,Ballot Measure 2,YES,,5268,984788
Attala,Ballot Measure 2,YES,,6569,984788
Benton,Ballot Measure 2,YES,,3157,984788
Bolivar,Ballot Measure 2,YES,,10483,984788
Calhoun,Ballot Measure 2,YES,,4599,984788
Carroll,Ballot Measure 2,YES,,4023,984788
Chickasaw,Ballot Measure 2,YES,,5941,984788
Choctaw,Ballot Measure 2,YES,,2746,984788
Claiborne,Ballot Measure 2,YES,,3777,984788
Clarke,Ballot Measure 2,YES,,6087,984788
Clay,Ballot Measure 2,YES,,8020,984788
Coahoma,Ballot Measure 2,YES,,6792,984788
Copiah,Ballot Measure 2,YES,,9699,984788
Covington,Ballot Measure 2,YES,,6689,984788
DeSoto,Ballot Measure 2,YES,,57510,984788
Forrest,Ballot Measure 2,YES,,23196,984788
Franklin,Ballot Measure 2,YES,,3141,984788
George,Ballot Measure 2,YES,,7095,984788
Greene,Ballot Measure 2,YES,,3548,984788
Grenada,Ballot Measure 2,YES,,7935,984788
Hancock,Ballot Measure 2,YES,,16299,984788
Harrison,Ballot Measure 2,YES,,59243,984788
Hinds,Ballot Measure 2,YES,,83336,984788
Holmes,Ballot Measure 2,YES,,6635,984788
Humphreys,Ballot Measure 2,YES,,3411,984788
Issaquena,Ballot Measure 2,YES,,469,984788
Itawamba,Ballot Measure 2,YES,,7732,984788
Jackson,Ballot Measure 2,YES,,40861,984788
Jasper,Ballot Measure 2,YES,,6407,984788
Jeff Davis,Ballot Measure 2,YES,,4702,984788
Jefferson,Ballot Measure 2,YES,,3294,984788
Jones,Ballot Measure 2,YES,,20273,984788
Kemper,Ballot Measure 2,YES,,3711,984788
Lafayette,Ballot Measure 2,YES,,18412,984788
Lamar,Ballot Measure 2,YES,,19849,984788
Lauderdale,Ballot Measure 2,YES,,23723,984788
Lawrence,Ballot Measure 2,YES,,4817,984788
Leake,Ballot Measure 2,YES,,6614,984788
Lee,Ballot Measure 2,YES,,25560,984788
Leflore,Ballot Measure 2,YES,,8523,984788
Lincoln,Ballot Measure 2,YES,,11949,984788
Lowndes,Ballot Measure 2,YES,,21650,984788
Madison,Ballot Measure 2,YES,,44193,984788
Marion,Ballot Measure 2,YES,,8598,984788
Marshall,Ballot Measure 2,YES,,11894,984788
Monroe,Ballot Measure 2,YES,,12955,984788
Montgomery,Ballot Measure 2,YES,,3661,984788
Neshoba,Ballot Measure 2,YES,,8203,984788
Newton,Ballot Measure 2,YES,,7151,984788
Noxubee,Ballot Measure 2,YES,,4070,984788
Oktibbeha,Ballot Measure 2,YES,,15359,984788
Panola,Ballot Measure 2,YES,,11765,984788
Pearl River,Ballot Measure 2,YES,,17135,984788
Perry,Ballot Measure 2,YES,,3653,984788
Pike,Ballot Measure 2,YES,,13465,984788
Pontotoc,Ballot Measure 2,YES,,10006,984788
Prentiss,Ballot Measure 2,YES,,7230,984788
Quitman,Ballot Measure 2,YES,,2348,984788
Rankin,Ballot Measure 2,YES,,52649,984788
Scott,Ballot Measure 2,YES,,7998,984788
Sharkey,Ballot Measure 2,YES,,1683,984788
Simpson,Ballot Measure 2,YES,,8762,984788
Smith,Ballot Measure 2,YES,,5757,984788
Stone,Ballot Measure 2,YES,,5532,984788
Sunflower,Ballot Measure 2,YES,,7811,984788
Tallahatchie,Ballot Measure 2,YES,,4366,984788
Tate,Ballot Measure 2,YES,,9289,984788
Tippah,Ballot Measure 2,YES,,6835,984788
Tishomingo,Ballot Measure 2,YES,,6310,984788
Tunica,Ballot Measure 2,YES,,2834,984788
Union,Ballot Measure 2,YES,,8920,984788
Walthall,Ballot Measure 2,YES,,5464,984788
Warren,Ballot Measure 2,YES,,16439,984788
Washington,Ballot Measure 2,YES,,14592,984788
Wayne,Ballot Measure 2,YES,,6990,984788
Webster,Ballot Measure 2,YES,,3208,984788
Wilkinson,Ballot Measure 2,YES,,3146,984788
Winston,Ballot Measure 2,YES,,6989,984788
Yalobusha,Ballot Measure 2,YES,,5017,984788
Yazoo,Ballot Measure 2,YES,,7707,984788
Adams,Ballot Measure 2,NO,,2029,257314
Alcorn,Ballot Measure 2,NO,,4069,257314
Amite,Ballot Measure 2,NO,,1532,257314
Attala,Ballot Measure 2,NO,,1779,257314
Benton,Ballot Measure 2,NO,,808,257314
Bolivar,Ballot Measure 2,NO,,1907,257314
Calhoun,Ballot Measure 2,NO,,1615,257314
Carroll,Ballot Measure 2,NO,,1294,257314
Chickasaw,Ballot Measure 2,NO,,1671,257314
Choctaw,Ballot Measure 2,NO,,1218,257314
Claiborne,Ballot Measure 2,NO,,490,257314
Clarke,Ballot Measure 2,NO,,1832,257314
Clay,Ballot Measure 2,NO,,1684,257314
Coahoma,Ballot Measure 2,NO,,1031,257314
Copiah,Ballot Measure 2,NO,,2533,257314
Covington,Ballot Measure 2,NO,,2246,257314
DeSoto,Ballot Measure 2,NO,,14533,257314
Forrest,Ballot Measure 2,NO,,6921,257314
Franklin,Ballot Measure 2,NO,,1042,257314
George,Ballot Measure 2,NO,,3340,257314
Greene,Ballot Measure 2,NO,,1898,257314
Grenada,Ballot Measure 2,NO,,2437,257314
Hancock,Ballot Measure 2,NO,,3484,257314
Harrison,Ballot Measure 2,NO,,12334,257314
Hinds,Ballot Measure 2,NO,,13225,257314
Holmes,Ballot Measure 2,NO,,897,257314
Humphreys,Ballot Measure 2,NO,,522,257314
Issaquena,Ballot Measure 2,NO,,117,257314
Itawamba,Ballot Measure 2,NO,,2478,257314
Jackson,Ballot Measure 2,NO,,10684,257314
Jasper,Ballot Measure 2,NO,,1882,257314
Jeff Davis,Ballot Measure 2,NO,,1058,257314
Jefferson,Ballot Measure 2,NO,,383,257314
Jones,Ballot Measure 2,NO,,8487,257314
Kemper,Ballot Measure 2,NO,,717,257314
Lafayette,Ballot Measure 2,NO,,3909,257314
Lamar,Ballot Measure 2,NO,,7497,257314
Lauderdale,Ballot Measure 2,NO,,5811,257314
Lawrence,Ballot Measure 2,NO,,1441,257314
Leake,Ballot Measure 2,NO,,2132,257314
Lee,Ballot Measure 2,NO,,8330,257314
Leflore,Ballot Measure 2,NO,,1375,257314
Lincoln,Ballot Measure 2,NO,,4124,257314
Lowndes,Ballot Measure 2,NO,,4234,257314
Madison,Ballot Measure 2,NO,,9756,257314
Marion,Ballot Measure 2,NO,,2960,257314
Marshall,Ballot Measure 2,NO,,2527,257314
Monroe,Ballot Measure 2,NO,,3294,257314
Montgomery,Ballot Measure 2,NO,,1089,257314
Neshoba,Ballot Measure 2,NO,,3095,257314
Newton,Ballot Measure 2,NO,,2596,257314
Noxubee,Ballot Measure 2,NO,,617,257314
Oktibbeha,Ballot Measure 2,NO,,3373,257314
Panola,Ballot Measure 2,NO,,2987,257314
Pearl River,Ballot Measure 2,NO,,5401,257314
Perry,Ballot Measure 2,NO,,1924,257314
Pike,Ballot Measure 2,NO,,3033,257314
Pontotoc,Ballot Measure 2,NO,,3475,257314
Prentiss,Ballot Measure 2,NO,,2798,257314
Quitman,Ballot Measure 2,NO,,496,257314
Rankin,Ballot Measure 2,NO,,15432,257314
Scott,Ballot Measure 2,NO,,2181,257314
Sharkey,Ballot Measure 2,NO,,276,257314
Simpson,Ballot Measure 2,NO,,2532,257314
Smith,Ballot Measure 2,NO,,2196,257314
Stone,Ballot Measure 2,NO,,1885,257314
Sunflower,Ballot Measure 2,NO,,1262,257314
Tallahatchie,Ballot Measure 2,NO,,893,257314
Tate,Ballot Measure 2,NO,,2925,257314
Tippah,Ballot Measure 2,NO,,2677,257314
Tishomingo,Ballot Measure 2,NO,,2250,257314
Tunica,Ballot Measure 2,NO,,411,257314
Union,Ballot Measure 2,NO,,3020,257314
Walthall,Ballot Measure 2,NO,,1186,257314
Warren,Ballot Measure 2,NO,,3456,257314
Washington,Ballot Measure 2,NO,,2282,257314
Wayne,Ballot Measure 2,NO,,2566,257314
Webster,Ballot Measure 2,NO,,1931,257314
Wilkinson,Ballot Measure 2,NO,,605,257314
Winston,Ballot Measure 2,NO,,1882,257314
Yalobusha,Ballot Measure 2,NO,,1191,257314
Yazoo,Ballot Measure 2,NO,,1824,257314
Adams,Ballot Measure 2,Over Vote,1,0,362
Alcorn,Ballot Measure 2,Over Vote,1,1,362
Amite,Ballot Measure 2,Over Vote,1,1,362
Attala,Ballot Measure 2,Over Vote,1,1,362
Benton,Ballot Measure 2,Over Vote,1,0,362
